code,country,annex,co2_gg_2022,source
ASM,American Samoa,Non-Annex_I,0.08509941865781,https://edgar.jrc.ec.europa.eu/dataset_ghg80
TUV,Tuvalu,Non-Annex_I,0.018220975426674,https://edgar.jrc.ec.europa.eu/dataset_ghg80
NRU,Nauru,Non-Annex_I,0.016702560807784,https://edgar.jrc.ec.europa.eu/dataset_ghg80
FSM,"Micronesia, Federated States of",Non-Annex_I,0.011893289773426,https://edgar.jrc.ec.europa.eu/dataset_ghg80
MYT,Mayotte,Non-Annex_I,0.0071447652995008,https://edgar.jrc.ec.europa.eu/dataset_ghg80
MNP,Northern Mariana Islands,Non-Annex_I,0.0049176211026316,https://edgar.jrc.ec.europa.eu/dataset_ghg80
MHL,Marshall Islands,Non-Annex_I,0.0047151516253748,https://edgar.jrc.ec.europa.eu/dataset_ghg80
WLF,Wallis and Futuna,Non-Annex_I,0.0010132315324732,https://edgar.jrc.ec.europa.eu/dataset_ghg80
NIU,Niue,Non-Annex_I,0.00016106290831204,https://edgar.jrc.ec.europa.eu/dataset_ghg80
TKL,Tokelau,Non-Annex_I,0.00012201217406745,https://edgar.jrc.ec.europa.eu/dataset_ghg80
